SUMLEV,COUNTY,PLACE,PRIMGEO_FLAG,NAME,POPTYPE,YEAR,POPULATION
162,0,3150,0,Bald Head Island village,POPESTIMATE,2017,176
162,0,3500,0,Banner Elk town,CENSUSPOP,2010,1028
162,0,3500,0,Banner Elk town,ESTIMATESBASE,2010,1021
162,0,3500,0,Banner Elk town,POPESTIMATE,2010,1020
162,0,3500,0,Banner Elk town,POPESTIMATE,2011,1086
162,0,3500,0,Banner Elk town,POPESTIMATE,2012,1049
162,0,3500,0,Banner Elk town,POPESTIMATE,2013,1094
162,0,3500,0,Banner Elk town,POPESTIMATE,2014,1125
162,0,3500,0,Banner Elk town,POPESTIMATE,2015,1129
162,0,3500,0,Banner Elk town,POPESTIMATE,2016,1127
162,0,3500,0,Banner Elk town,POPESTIMATE,2017,1129
162,0,3840,0,Bath town,CENSUSPOP,2010,249
162,0,3840,0,Bath town,ESTIMATESBASE,2010,249
162,0,3840,0,Bath town,POPESTIMATE,2010,249
162,0,3840,0,Bath town,POPESTIMATE,2011,248
162,0,3840,0,Bath town,POPESTIMATE,2012,247
162,0,3840,0,Bath town,POPESTIMATE,2013,246
162,0,3840,0,Bath town,POPESTIMATE,2014,246
162,0,3840,0,Bath town,POPESTIMATE,2015,247
162,0,3840,0,Bath town,POPESTIMATE,2016,244
162,0,3840,0,Bath town,POPESTIMATE,2017,244
162,0,3960,0,Bayboro town,CENSUSPOP,2010,1263
162,0,3960,0,Bayboro town,ESTIMATESBASE,2010,1261
162,0,3960,0,Bayboro town,POPESTIMATE,2010,1260
162,0,3960,0,Bayboro town,POPESTIMATE,2011,1266
162,0,3960,0,Bayboro town,POPESTIMATE,2012,1251
162,0,3960,0,Bayboro town,POPESTIMATE,2013,1244
162,0,3960,0,Bayboro town,POPESTIMATE,2014,1248
162,0,3960,0,Bayboro town,POPESTIMATE,2015,1240
162,0,3960,0,Bayboro town,POPESTIMATE,2016,1240
162,0,3960,0,Bayboro town,POPESTIMATE,2017,1235
162,0,4180,0,Bear Grass town,CENSUSPOP,2010,73
162,0,4180,0,Bear Grass town,ESTIMATESBASE,2010,73
162,0,4180,0,Bear Grass town,POPESTIMATE,2010,73
162,0,4180,0,Bear Grass town,POPESTIMATE,2011,72
162,0,4180,0,Bear Grass town,POPESTIMATE,2012,71
162,0,4180,0,Bear Grass town,POPESTIMATE,2013,71
162,0,4180,0,Bear Grass town,POPESTIMATE,2014,70
162,0,4180,0,Bear Grass town,POPESTIMATE,2015,70
162,0,4180,0,Bear Grass town,POPESTIMATE,2016,69
162,0,4180,0,Bear Grass town,POPESTIMATE,2017,69
162,0,4260,0,Beaufort town,CENSUSPOP,2010,4039
162,0,4260,0,Beaufort town,ESTIMATESBASE,2010,4049
162,0,4260,0,Beaufort town,POPESTIMATE,2010,4066
162,0,4260,0,Beaufort town,POPESTIMATE,2011,4107
162,0,4260,0,Beaufort town,POPESTIMATE,2012,4100
162,0,4260,0,Beaufort town,POPESTIMATE,2013,4147
162,0,4260,0,Beaufort town,POPESTIMATE,2014,4160
162,0,4260,0,Beaufort town,POPESTIMATE,2015,4170
162,0,4260,0,Beaufort town,POPESTIMATE,2016,4162
162,0,4260,0,Beaufort town,POPESTIMATE,2017,4164
162,0,4510,0,Beech Mountain town,CENSUSPOP,2010,320
162,0,4510,0,Beech Mountain town,ESTIMATESBASE,2010,317
162,0,4510,0,Beech Mountain town,POPESTIMATE,2010,316
162,0,4510,0,Beech Mountain town,POPESTIMATE,2011,316
162,0,4510,0,Beech Mountain town,POPESTIMATE,2012,316
162,0,4510,0,Beech Mountain town,POPESTIMATE,2013,315
162,0,4510,0,Beech Mountain town,POPESTIMATE,2014,314
162,0,4510,0,Beech Mountain town,POPESTIMATE,2015,315
162,0,4510,0,Beech Mountain town,POPESTIMATE,2016,317
162,0,4510,0,Beech Mountain town,POPESTIMATE,2017,322
162,0,4640,0,Belhaven town,CENSUSPOP,2010,1688
162,0,4640,0,Belhaven town,ESTIMATESBASE,2010,1692
162,0,4640,0,Belhaven town,POPESTIMATE,2010,1691
162,0,4640,0,Belhaven town,POPESTIMATE,2011,1672
162,0,4640,0,Belhaven town,POPESTIMATE,2012,1642
162,0,4640,0,Belhaven town,POPESTIMATE,2013,1616
162,0,4640,0,Belhaven town,POPESTIMATE,2014,1613
162,0,4640,0,Belhaven town,POPESTIMATE,2015,1602
162,0,4640,0,Belhaven town,POPESTIMATE,2016,1588
162,0,4640,0,Belhaven town,POPESTIMATE,2017,1580
162,0,4840,0,Belmont city,CENSUSPOP,2010,10076
162,0,4840,0,Belmont city,ESTIMATESBASE,2010,10226
162,0,4840,0,Belmont city,POPESTIMATE,2010,10232
162,0,4840,0,Belmont city,POPESTIMATE,2011,10260
162,0,4840,0,Belmont city,POPESTIMATE,2012,10430
162,0,4840,0,Belmont city,POPESTIMATE,2013,10653
162,0,4840,0,Belmont city,POPESTIMATE,2014,11043
162,0,4840,0,Belmont city,POPESTIMATE,2015,11466
162,0,4840,0,Belmont city,POPESTIMATE,2016,11673
162,0,4840,0,Belmont city,POPESTIMATE,2017,12046
162,0,4950,0,Belville town,CENSUSPOP,2010,1936
162,0,4950,0,Belville town,ESTIMATESBASE,2010,1924
162,0,4950,0,Belville town,POPESTIMATE,2010,1931
162,0,4950,0,Belville town,POPESTIMATE,2011,1958
162,0,4950,0,Belville town,POPESTIMATE,2012,1980
162,0,4950,0,Belville town,POPESTIMATE,2013,1999
162,0,4950,0,Belville town,POPESTIMATE,2014,2011
162,0,4950,0,Belville town,POPESTIMATE,2015,2026
162,0,4950,0,Belville town,POPESTIMATE,2016,2039
162,0,4950,0,Belville town,POPESTIMATE,2017,2052
162,0,4960,0,Belwood town,CENSUSPOP,2010,950
162,0,4960,0,Belwood town,ESTIMATESBASE,2010,950
162,0,4960,0,Belwood town,POPESTIMATE,2010,948
162,0,4960,0,Belwood town,POPESTIMATE,2011,945
162,0,4960,0,Belwood town,POPESTIMATE,2012,943
162,0,4960,0,Belwood town,POPESTIMATE,2013,939
162,0,4960,0,Belwood town,POPESTIMATE,2014,939
162,0,4960,0,Belwood town,POPESTIMATE,2015,936
162,0,4960,0,Belwood town,POPESTIMATE,2016,939
162,0,4960,0,Belwood town,POPESTIMATE,2017,943
162,0,5040,0,Benson town,CENSUSPOP,2010,3311
162,0,5040,0,Benson town,ESTIMATESBASE,2010,3312
162,0,5040,0,Benson town,POPESTIMATE,2010,3321
162,0,5040,0,Benson town,POPESTIMATE,2011,3365
162,0,5040,0,Benson town,POPESTIMATE,2012,3395
162,0,5040,0,Benson town,POPESTIMATE,2013,3450
162,0,5040,0,Benson town,POPESTIMATE,2014,3490
162,0,5040,0,Benson town,POPESTIMATE,2015,3547
162,0,5040,0,Benson town,POPESTIMATE,2016,3655
162,0,5040,0,Benson town,POPESTIMATE,2017,3732
162,0,5135,0,Bermuda Run town,CENSUSPOP,2010,1725
162,0,5135,0,Bermuda Run town,ESTIMATESBASE,2010,2509
162,0,5135,0,Bermuda Run town,POPESTIMATE,2010,2510
162,0,5135,0,Bermuda Run town,POPESTIMATE,2011,2515
162,0,5135,0,Bermuda Run town,POPESTIMATE,2012,2511
162,0,5135,0,Bermuda Run town,POPESTIMATE,2013,2522
162,0,5135,0,Bermuda Run town,POPESTIMATE,2014,2509
162,0,5135,0,Bermuda Run town,POPESTIMATE,2015,2534
162,0,5135,0,Bermuda Run town,POPESTIMATE,2016,2563
162,0,5135,0,Bermuda Run town,POPESTIMATE,2017,2593
162,0,5220,0,Bessemer City city,CENSUSPOP,2010,5340
162,0,5220,0,Bessemer City city,ESTIMATESBASE,2010,5328
162,0,5220,0,Bessemer City city,POPESTIMATE,2010,5328
162,0,5220,0,Bessemer City city,POPESTIMATE,2011,5341
162,0,5220,0,Bessemer City city,POPESTIMATE,2012,5336
162,0,5220,0,Bessemer City city,POPESTIMATE,2013,5358
162,0,5220,0,Bessemer City city,POPESTIMATE,2014,5370
162,0,5220,0,Bessemer City city,POPESTIMATE,2015,5405
162,0,5220,0,Bessemer City city,POPESTIMATE,2016,5426
162,0,5220,0,Bessemer City city,POPESTIMATE,2017,5472
162,0,5340,0,Bethania town,CENSUSPOP,2010,328
162,0,5340,0,Bethania town,ESTIMATESBASE,2010,328
162,0,5340,0,Bethania town,POPESTIMATE,2010,328
162,0,5340,0,Bethania town,POPESTIMATE,2011,332
162,0,5340,0,Bethania town,POPESTIMATE,2012,335
